time,Download Rate,next_bitrate
1,15717.4108777,45226.0
1,134322.184595,88783.0
2,235345.226292,128503.0
3,333315.24778,177437.0
4,454681.697616,217761.0
5,527725.314549,255865.0
6,578164.446448,323047.0
8,613174.016849,378355.0
10,641402.606703,509091.0
13,666894.539331,509091.0
16,685918.982433,509091.0
19,702618.352885,577751.0
23,714841.890463,577751.0
26,726120.373217,577751.0
30,732866.513449,577751.0
32,734837.394771,577751.0
34,731331.862536,577751.0
37,736744.300918,577751.0
40,741785.187344,577751.0
43,745846.234735,577751.0
46,752333.434466,577751.0
50,752810.290532,577751.0
52,758596.992004,577751.0
54,757572.079272,577751.0
56,761620.073312,577751.0
61,846512.99225,577751.0
63,875532.70029,577751.0
70,853748.809311,577751.0
72,838470.495784,577751.0
79,868991.168048,577751.0
82,848070.188568,577751.0
86,829117.802967,577751.0
89,815802.998432,577751.0
95,848294.174566,577751.0
99,831393.458754,577751.0
102,817712.342708,577751.0
106,806058.426516,577751.0
109,795781.843628,577751.0
116,832354.711251,577751.0
119,816541.945252,577751.0
121,809331.389694,577751.0
127,848394.816722,577751.0
130,830774.747958,577751.0
133,813570.530242,577751.0
138,863780.340922,577751.0
142,845097.106059,577751.0
144,897703.92597,577751.0
151,871712.275466,577751.0
154,850409.93872,577751.0
156,911088.393955,577751.0
162,881455.254675,577751.0
164,940229.574457,782553.0
172,906344.774646,577751.0
175,876918.608378,577751.0
179,854184.134223,577751.0
182,833994.084847,577751.0
184,822917.915485,577751.0
190,877955.623568,577751.0
193,854129.854289,577751.0
199,909675.052446,577751.0
202,881025.280703,577751.0
205,857041.035314,577751.0
211,897979.671273,577751.0
214,873749.774015,577751.0
217,850956.821403,577751.0
220,835310.503665,577751.0
226,909550.304021,577751.0
229,880228.149308,577751.0
235,931390.095439,577751.0
239,897502.371124,577751.0
242,870556.506176,577751.0
245,850484.88027,577751.0
248,834298.117007,577751.0
254,922964.908314,577751.0
257,892522.19401,577751.0
263,964398.416206,782553.0
266,926746.797444,577751.0
269,893548.741939,577751.0
272,925417.21799,577751.0
279,892858.212046,577751.0
283,864410.43927,577751.0
286,845776.955697,577751.0
288,907304.08635,577751.0
295,878888.953031,577751.0
299,855593.287631,577751.0
301,837367.180993,577751.0
307,855212.013431,577751.0
311,838658.781442,577751.0
314,825231.397042,577751.0
318,812747.649872,577751.0
320,880772.897306,577751.0
327,858725.898682,577751.0
331,838528.823514,577751.0
334,827111.376615,577751.0
337,814493.962829,577751.0
343,839314.27082,577751.0
346,825576.174609,577751.0
347,842562.641162,577751.0
354,827643.745522,577751.0
355,876566.016547,577751.0
362,850770.07294,577751.0
364,920656.232754,577751.0
370,888118.081743,577751.0
374,863943.275412,577751.0
377,845144.137067,577751.0
383,904830.374634,577751.0
386,877943.950805,577751.0
390,854636.371934,577751.0
393,837835.028147,577751.0
399,896403.619477,577751.0
403,871665.176706,577751.0
405,850838.94419,577751.0
409,832730.006675,577751.0
414,936535.768609,577751.0
417,901917.555573,577751.0
423,959654.60026,782553.0
426,917392.057036,577751.0
429,889164.927932,577751.0
433,864724.867104,577751.0
438,998454.315958,782553.0
442,976303.676975,782553.0
445,933874.701322,577751.0
451,982626.289423,782553.0
453,1091112.83854,782553.0
459,1089037.03833,782553.0
461,1178874.41819,782553.0
465,1130311.74218,782553.0
474,1057358.51972,782553.0
478,1000197.40604,782553.0
483,953467.170944,782553.0
487,915785.803861,577751.0
491,884404.634306,577751.0
494,859677.162338,577751.0
498,841095.176809,577751.0
501,826828.175781,577751.0
505,814667.763902,577751.0
508,804773.132789,577751.0
511,818327.774587,577751.0
513,960027.202681,782553.0
521,921369.548901,577751.0
525,892632.577018,577751.0
529,867474.162443,577751.0
532,847417.210087,577751.0
535,854763.040304,577751.0
537,990309.402028,782553.0
545,945592.953009,782553.0
547,942020.944213,782553.0
548,1059674.38305,782553.0
554,1154544.85524,782553.0
558,1116568.88568,782553.0
